12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:57.496 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-24","2074")
12:37:57.499 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-25","2064")
12:37:57.501 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-26","2329")
12:37:57.504 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-27","2391")
12:37:57.507 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-28","2584")
12:37:57.511 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-29","2477")
12:37:57.514 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-30","2220")
12:37:57.518 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-05-31","2097")
12:37:57.520 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-01","2192")
12:37:57.525 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-02","2156")
12:37:57.529 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-03","2369")
12:37:57.532 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-04","2403")
12:37:57.534 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-05","2338")
12:37:57.537 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-06","1981")
12:37:57.541 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-07","2104")
12:37:57.545 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-08","1891")
12:37:57.549 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-09","2084")
12:37:57.552 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-10","2168")
12:37:57.555 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-11","2356")
12:37:57.560 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-12","2119")
12:37:57.568 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-13","2089")
12:37:57.572 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-14","2014")
12:37:57.576 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-15","2059")
12:37:57.579 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-16","2133")
12:37:57.582 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-17","2106")
12:37:57.588 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-06-18","2244")
